"CCT(proX)","CCC(proT)","CCA(proU)","CCG(proY)","geneLocus","geneType","geneSymbol"
1,5,NA,21,"Rv0855","CDS","far"
1,1,NA,6,"Rv0856","CDS","Rv0856"
1,3,1,3,"Rv0857","CDS","Rv0857"
2,6,1,18,"Rv0858c","CDS","dapC"
NA,3,1,13,"Rv0859","CDS","fadA"
NA,8,1,31,"Rv0860","CDS","fadB"
1,6,3,13,"Rv0861c","CDS","ercc3"
6,24,12,24,"Rv0862c","CDS","Rv0862c"
1,2,1,5,"Rv0863","CDS","Rv0863"
NA,1,NA,2,"Rv0864","CDS","moaC2"
1,4,1,5,"Rv0865","CDS","mog"
NA,1,NA,2,"Rv0866","CDS","moaE2"
NA,42,17,20,"Rv0867c","CDS","rpfA"
1,1,NA,NA,"Rv0868c","CDS","moaD2"
2,10,1,11,"Rv0869c","CDS","moaA2"
NA,1,1,5,"Rv0870c","CDS","Rv0870c"
NA,4,NA,8,"Rv0871","CDS","cspB"
NA,11,NA,7,"Rv0872c","CDS","PE_PGRS15"
2,7,4,14,"Rv0873","CDS","fadE10"
NA,7,1,14,"Rv0874c","CDS","Rv0874c"
NA,6,NA,8,"Rv0875c","CDS","Rv0875c"
5,6,5,19,"Rv0876c","CDS","Rv0876c"
2,5,NA,12,"Rv0877","CDS","Rv0877"
1,4,4,12,"Rv0878c","CDS","PPE13"
1,1,2,5,"Rv0879c","CDS","Rv0879c"
NA,1,2,5,"Rv0880","CDS","Rv0880"
NA,5,3,9,"Rv0881","CDS","Rv0881"
1,1,1,1,"Rv0882","CDS","Rv0882"
1,7,NA,12,"Rv0883c","CDS","Rv0883c"
1,7,1,16,"Rv0884c","CDS","serC"
NA,6,2,18,"Rv0885","CDS","Rv0885"
3,12,1,30,"Rv0886","CDS","fprB"
NA,4,1,4,"Rv0887c","CDS","Rv0887c"
3,13,2,20,"Rv0888","CDS","Rv0888"
NA,4,2,20,"Rv0889c","CDS","citA"
1,8,4,15,"Rv0890c","CDS","Rv0890c"
2,6,7,8,"Rv0891c","CDS","Rv0891c"
6,3,5,16,"Rv0892","CDS","Rv0892"
2,5,4,5,"Rv0893c","CDS","Rv0893c"
2,4,2,7,"Rv0894","CDS","Rv0894"
2,4,9,23,"Rv0895","CDS","Rv0895"
NA,10,1,9,"Rv0896","CDS","gltA2"
1,6,6,17,"Rv0897c","CDS","Rv0897c"
NA,1,NA,2,"Rv0898c","CDS","Rv0898c"
3,7,4,13,"Rv0899","CDS","ompA"
NA,1,NA,NA,"Rv0900","CDS","Rv0900"
1,4,1,13,"Rv0901","CDS","Rv0901"
NA,9,1,13,"Rv0902c","CDS","prrB"
2,1,1,4,"Rv0903c","CDS","prrA"
1,15,3,18,"Rv0904c","CDS","accD3"
NA,3,2,6,"Rv0905","CDS","echA6"
NA,8,1,24,"Rv0906","CDS","Rv0906"
1,14,1,17,"Rv0907","CDS","Rv0907"
1,9,1,21,"Rv0908","CDS","ctpE"
NA,NA,NA,NA,"Rv0909","CDS","Rv0909"
NA,3,1,6,"Rv0910","CDS","Rv0910"
1,7,NA,8,"Rv0911","CDS","Rv0911"
3,1,1,2,"Rv0912","CDS","Rv0912"
NA,7,7,20,"Rv0913c","CDS","Rv0913c"
1,8,NA,7,"Rv0914c","CDS","Rv0914c"
1,10,4,26,"Rv0915c","CDS","PPE14"
1,1,NA,5,"Rv0916c","CDS","PE7"
3,7,3,11,"Rv0917","CDS","betP"
4,1,2,2,"Rv0918","CDS","Rv0918"
1,2,NA,5,"Rv0919","CDS","Rv0919"
2,3,2,10,"Rv0920c","CDS","Rv0920c"
1,3,NA,2,"Rv0921","CDS","Rv0921"
2,6,5,20,"Rv0922","CDS","Rv0922"
2,8,4,17,"Rv0923c","CDS","Rv0923c"
1,8,3,8,"Rv0924c","CDS","mntH"
NA,4,3,8,"Rv0925c","CDS","Rv0925c"
3,7,2,13,"Rv0926c","CDS","Rv0926c"
NA,5,2,5,"Rv0927c","CDS","Rv0927c"
NA,6,2,8,"Rv0928","CDS","pstS3"
1,2,2,11,"Rv0929","CDS","pstC2"
NA,4,1,12,"Rv0930","CDS","pstA1"
3,9,4,28,"Rv0931c","CDS","pknD"
2,3,4,12,"Rv0932c","CDS","pstS2"
NA,3,NA,10,"Rv0933","CDS","pstB"
1,9,1,16,"Rv0934","CDS","pstS1"
NA,5,1,13,"Rv0935","CDS","pstC1"
NA,2,3,11,"Rv0936","CDS","pstA2"
3,5,1,6,"Rv0937c","CDS","mku"
2,17,4,24,"Rv0938","CDS","ligD"
2,13,1,28,"Rv0939","CDS","Rv0939"
1,7,NA,14,"Rv0940c","CDS","Rv0940c"
NA,3,3,9,"Rv0941c","CDS","Rv0941c"
NA,2,3,2,"Rv0942","CDS","Rv0942"
NA,11,4,5,"Rv0943c","CDS","Rv0943c"
NA,2,2,3,"Rv0944","CDS","Rv0944"
NA,5,2,4,"Rv0945","CDS","Rv0945"
NA,7,3,15,"Rv0946c","CDS","pgi"
1,NA,NA,2,"Rv0947c","CDS","Rv0947c"
1,3,2,NA,"Rv0948c","CDS","Rv0948c"
2,5,5,21,"Rv0949","CDS","uvrD1"
1,3,4,12,"Rv0950c","CDS","Rv0950c"
2,3,2,7,"Rv0951","CDS","sucC"
1,4,2,9,"Rv0952","CDS","sucD"
1,4,3,13,"Rv0953c","CDS","Rv0953c"
3,10,5,19,"Rv0954","CDS","Rv0954"
2,6,4,20,"Rv0955","CDS","Rv0955"
2,4,1,8,"Rv0956","CDS","purN"
3,10,2,12,"Rv0957","CDS","purH"
NA,9,1,11,"Rv0958","CDS","Rv0958"
NA,1,NA,2,"Rv0959A","CDS","vapB9"
NA,7,NA,20,"Rv0959","CDS","Rv0959"
NA,1,NA,3,"Rv0960","CDS","vapC9"
1,1,NA,1,"Rv0961","CDS","Rv0961"
1,9,4,12,"Rv0962c","CDS","lprP"
NA,5,2,6,"Rv0963c","CDS","Rv0963c"
1,2,3,8,"Rv0964c","CDS","Rv0964c"
1,NA,2,2,"Rv0965c","CDS","Rv0965c"
NA,2,2,6,"Rv0966c","CDS","Rv0966c"
NA,NA,1,3,"Rv0967","CDS","csoR"
NA,1,2,1,"Rv0968","CDS","Rv0968"
2,7,2,24,"Rv0969","CDS","ctpV"
3,1,NA,9,"Rv0970","CDS","Rv0970"
NA,4,1,11,"Rv0971c","CDS","echA7"
NA,9,NA,6,"Rv0972c","CDS","fadE12"
4,13,4,19,"Rv0973c","CDS","accA2"
NA,9,2,21,"Rv0974c","CDS","accD2"
NA,7,NA,6,"Rv0975c","CDS","fadE13"
1,11,3,19,"Rv0976c","CDS","Rv0976c"
NA,15,1,20,"Rv0977","CDS","PE_PGRS16"
NA,7,3,6,"Rv0978c","CDS","PE_PGRS17"
1,1,NA,NA,"Rv0979A","CDS","rpmF"
NA,1,1,4,"Rv0979c","CDS","Rv0979c"
NA,8,4,9,"Rv0980c","CDS","PE_PGRS18"
NA,4,2,6,"Rv0981","CDS","mprA"
1,9,1,15,"Rv0982","CDS","mprB"
6,12,9,19,"Rv0983","CDS","pepD"
1,1,NA,3,"Rv0984","CDS","moaB2"
1,1,2,3,"Rv0985c","CDS","mscL"
3,6,NA,3,"Rv0986","CDS","Rv0986"
6,7,12,14,"Rv0987","CDS","Rv0987"
4,2,1,8,"Rv0988","CDS","Rv0988"
3,5,NA,7,"Rv0989c","CDS","grcC2"
NA,3,2,7,"Rv0990c","CDS","Rv0990c"
NA,NA,1,NA,"Rv0991c","CDS","Rv0991c"
1,2,1,12,"Rv0992c","CDS","Rv0992c"
1,8,1,11,"Rv0993","CDS","galU"
3,4,1,16,"Rv0994","CDS","moeA1"
NA,2,1,7,"Rv0995","CDS","rimJ"
NA,5,2,16,"Rv0996","CDS","Rv0996"
NA,5,1,7,"Rv0997","CDS","Rv0997"
NA,5,NA,13,"Rv0998","CDS","Rv0998"
2,6,1,9,"Rv0999","CDS","Rv0999"
NA,2,1,10,"Rv1000c","CDS","Rv1000c"
NA,5,2,16,"Rv1001","CDS","arcA"
1,12,3,13,"Rv1002c","CDS","Rv1002c"
NA,3,2,10,"Rv1003","CDS","Rv1003"
5,15,9,45,"Rv1004c","CDS","Rv1004c"
2,5,5,27,"Rv1005c","CDS","pabB"
2,13,3,32,"Rv1006","CDS","Rv1006"
NA,13,2,15,"Rv1007c","CDS","metS"
NA,4,NA,10,"Rv1008","CDS","tatD"
NA,7,NA,16,"Rv1009","CDS","rpfB"
NA,5,1,10,"Rv1010","CDS","ksgA"
NA,7,NA,11,"Rv1011","CDS","ispE"
2,NA,2,2,"Rv1012","CDS","Rv1012"
2,17,1,13,"Rv1013","CDS","pks16"
1,3,NA,7,"Rv1014c","CDS","pth"
1,4,3,2,"Rv1015c","CDS","rplY"
1,1,4,14,"Rv1016c","CDS","lpqT"
1,4,NA,11,"Rv1017c","CDS","prsA"
1,10,4,11,"Rv1018c","CDS","glmU"
NA,NA,NA,6,"Rv1019","CDS","Rv1019"
2,22,5,44,"Rv1020","CDS","mfd"
2,5,3,8,"Rv1021","CDS","Rv1021"
1,5,1,10,"Rv1022","CDS","lpqU"
2,4,3,9,"Rv1023","CDS","eno"
3,9,2,20,"Rv1024","CDS","Rv1024"
NA,5,2,6,"Rv1025","CDS","Rv1025"
1,3,NA,6,"Rv1026","CDS","Rv1026"
NA,3,NA,8,"Rv1027c","CDS","kdpE"
NA,NA,NA,1,"Rv1028A","CDS","kdpF"
2,15,2,13,"Rv1028c","CDS","kdpD"
1,5,3,19,"Rv1029","CDS","kdpA"
2,7,2,14,"Rv1030","CDS","kdpB"
NA,2,NA,7,"Rv1031","CDS","kdpC"
NA,14,1,13,"Rv1032c","CDS","trcS"
NA,5,3,6,"Rv1033c","CDS","trcR"
1,2,2,3,"Rv1034c","CDS","Rv1034c"
NA,1,NA,3,"Rv1035c","CDS","Rv1035c"
NA,3,NA,6,"Rv1036c","CDS","Rv1036c"
NA,NA,NA,NA,"Rv1037c","CDS","esxI"
NA,NA,NA,1,"Rv1038c","CDS","esxJ"
1,6,3,15,"Rv1039c","CDS","PPE15"
2,6,3,6,"Rv1040c","CDS","PE8"
2,5,5,7,"Rv1041c","CDS","Rv1041c"
NA,2,NA,4,"Rv1042c","CDS","Rv1042c"
NA,8,4,19,"Rv1043c","CDS","Rv1043c"
2,2,NA,6,"Rv1044","CDS","Rv1044"
2,6,2,10,"Rv1045","CDS","Rv1045"
5,5,4,9,"Rv1046c","CDS","Rv1046c"
NA,9,1,6,"Rv1047","CDS","Rv1047"
3,5,5,6,"Rv1048c","CDS","Rv1048c"
NA,1,1,1,"Rv1049","CDS","Rv1049"
NA,4,1,11,"Rv1050","CDS","Rv1050"
1,4,1,6,"Rv1051c","CDS","Rv1051c"
NA,3,NA,7,"Rv1052","CDS","Rv1052"
NA,1,4,2,"Rv1053c","CDS","Rv1053c"
4,2,2,1,"Rv1054","CDS","Rv1054"
NA,NA,NA,1,"Rv1055","CDS","Rv1055"
NA,7,1,15,"Rv1056","CDS","Rv1056"
1,2,1,11,"Rv1057","CDS","Rv1057"
1,10,2,17,"Rv1058","CDS","fadD14"
1,8,4,14,"Rv1059","CDS","Rv1059"
1,1,2,8,"Rv1060","CDS","Rv1060"
1,3,3,7,"Rv1061","CDS","Rv1061"
1,4,NA,11,"Rv1062","CDS","Rv1062"
1,8,6,9,"Rv1063c","CDS","Rv1063c"
NA,3,1,5,"Rv1064c","CDS","lpqV"
2,5,3,7,"Rv1065","CDS","Rv1065"
NA,4,1,NA,"Rv1066","CDS","Rv1066"
NA,8,1,8,"Rv1067c","CDS","PE_PGRS19"
NA,7,1,3,"Rv1068c","CDS","PE_PGRS20"
2,7,6,30,"Rv1069c","CDS","Rv1069c"
NA,3,1,3,"Rv1070c","CDS","echA8"
1,6,3,5,"Rv1071c","CDS","echA9"
1,4,1,6,"Rv1072","CDS","Rv1072"
NA,6,4,4,"Rv1073","CDS","Rv1073"
NA,3,2,17,"Rv1074c","CDS","fadA3"
1,10,2,14,"Rv1075c","CDS","Rv1075c"
2,6,2,11,"Rv1076","CDS","lipU"
1,7,1,20,"Rv1077","CDS","cbs"
6,8,7,24,"Rv1078","CDS","pra"
NA,10,1,10,"Rv1079","CDS","metB"
NA,3,NA,4,"Rv1080c","CDS","greA"
NA,3,2,7,"Rv1081c","CDS","Rv1081c"
2,5,4,12,"Rv1082","CDS","mca"
NA,5,1,4,"Rv1083","CDS","Rv1083"
NA,10,NA,27,"Rv1084","CDS","Rv1084"
NA,1,NA,9,"Rv1085c","CDS","Rv1085c"
NA,4,NA,7,"Rv1086","CDS","Rv1086"
NA,5,1,3,"Rv1087A","CDS","Rv1087A"
1,13,1,8,"Rv1087","CDS","PE_PGRS21"
NA,1,1,NA,"Rv1088","CDS","PE9"
1,1,1,1,"Rv1089A","CDS","celA2a"
NA,NA,NA,1,"Rv1089","CDS","PE10"
1,2,NA,6,"Rv1090","CDS","celA2b"
NA,10,2,5,"Rv1091","CDS","PE_PGRS22"
NA,7,1,11,"Rv1092c","CDS","coaA"
NA,9,1,13,"Rv1093","CDS","glyA1"
1,3,1,4,"Rv1094","CDS","desA2"
NA,2,NA,14,"Rv1095","CDS","phoH2"
1,10,3,13,"Rv1096","CDS","Rv1096"
2,13,5,16,"Rv1097c","CDS","Rv1097c"
NA,4,3,12,"Rv1098c","CDS","fum"
NA,4,3,9,"Rv1099c","CDS","glpX"
1,4,1,16,"Rv1100","CDS","Rv1100"
1,2,2,12,"Rv1101c","CDS","Rv1101c"
1,1,NA,6,"Rv1102c","CDS","mazF3"
NA,2,NA,NA,"Rv1103c","CDS","mazE3"
1,9,3,8,"Rv1104","CDS","Rv1104"
2,3,3,3,"Rv1105","CDS","Rv1105"
1,5,NA,11,"Rv1106c","CDS","Rv1106c"
1,1,NA,NA,"Rv1107c","CDS","xseB"
1,9,3,12,"Rv1108c","CDS","xseA"
1,5,3,8,"Rv1109c","CDS","Rv1109c"
3,9,NA,6,"Rv1110","CDS","lytB2"
3,10,4,14,"Rv1111c","CDS","Rv1111c"
NA,8,NA,6,"Rv1112","CDS","Rv1112"
NA,1,NA,2,"Rv1113","CDS","vapB32"
NA,NA,NA,2,"Rv1114","CDS","vapC32"
2,6,3,14,"Rv1115","CDS","Rv1115"
NA,NA,NA,3,"Rv1116A","CDS","Rv1116A"
NA,2,NA,2,"Rv1116","CDS","Rv1116"
NA,2,NA,3,"Rv1117","CDS","Rv1117"
2,5,3,11,"Rv1118c","CDS","Rv1118c"
NA,1,NA,2,"Rv1119c","CDS","Rv1119c"
NA,2,NA,1,"Rv1120c","CDS","Rv1120c"
NA,9,NA,17,"Rv1121","CDS","zwf1"
2,4,1,10,"Rv1122","CDS","gnd2"
NA,7,NA,10,"Rv1123c","CDS","bpoB"
NA,7,2,19,"Rv1124","CDS","ephC"
NA,9,2,17,"Rv1125","CDS","Rv1125"
1,1,1,4,"Rv1126c","CDS","Rv1126c"
2,7,1,17,"Rv1127c","CDS","ppdK"
2,8,4,13,"Rv1128c","CDS","Rv1128c"
1,10,1,10,"Rv1129c","CDS","Rv1129c"
2,8,3,20,"Rv1130","CDS","prpD"
NA,7,NA,15,"Rv1131","CDS","prpC"
1,12,NA,23,"Rv1132","CDS","Rv1132"
3,10,1,32,"Rv1133c","CDS","metE"
NA,NA,1,4,"Rv1134","CDS","Rv1134"
1,2,1,1,"Rv1135A","CDS","Rv1135A"
1,6,1,8,"Rv1135c","CDS","PPE16"
NA,1,1,4,"Rv1136","CDS","Rv1136"
2,5,2,1,"Rv1137c","CDS","Rv1137c"
1,8,2,7,"Rv1138c","CDS","Rv1138c"
1,1,2,5,"Rv1139c","CDS","Rv1139c"
5,5,1,11,"Rv1140","CDS","Rv1140"
1,4,3,8,"Rv1141c","CDS","echA11"
1,3,4,8,"Rv1142c","CDS","echA10"
NA,5,1,17,"Rv1143","CDS","mcr"
NA,2,NA,10,"Rv1144","CDS","Rv1144"
1,1,2,9,"Rv1145","CDS","mmpL13a"
3,5,1,19,"Rv1146","CDS","mmpL13b"
NA,5,NA,7,"Rv1147","CDS","Rv1147"
1,6,5,14,"Rv1148c","CDS","Rv1148c"
NA,2,NA,4,"Rv1149","CDS","Rv1149"
NA,4,3,3,"Rv1150","CDS","Rv1150"
2,9,1,9,"Rv1151c","CDS","Rv1151c"
NA,1,NA,5,"Rv1152","CDS","Rv1152"
3,4,3,13,"Rv1153c","CDS","omt"
2,2,3,NA,"Rv1154c","CDS","Rv1154c"
2,3,1,4,"Rv1155","CDS","Rv1155"
2,2,3,6,"Rv1156","CDS","Rv1156"
5,17,7,35,"Rv1157c","CDS","Rv1157c"
1,16,3,33,"Rv1158c","CDS","Rv1158c"
NA,NA,NA,2,"Rv1159A","CDS","Rv1159A"
NA,3,2,21,"Rv1159","CDS","pimE"
NA,1,2,2,"Rv1160","CDS","mutT2"
2,20,5,49,"Rv1161","CDS","narG"
2,5,4,30,"Rv1162","CDS","narH"
NA,7,NA,9,"Rv1163","CDS","narJ"
1,2,NA,7,"Rv1164","CDS","narI"
NA,11,6,19,"Rv1165","CDS","typA"
4,18,8,40,"Rv1166","CDS","lpqW"
NA,4,NA,10,"Rv1167c","CDS","Rv1167c"
1,9,2,16,"Rv1168c","CDS","PPE17"
NA,2,NA,1,"Rv1169c","CDS","lipX"
1,7,NA,7,"Rv1170","CDS","mshB"
1,2,1,3,"Rv1171","CDS","Rv1171"
NA,6,3,10,"Rv1172c","CDS","PE12"
3,16,1,29,"Rv1173","CDS","fbiC"
1,1,1,4,"Rv1174c","CDS","TB8.4"
NA,8,6,25,"Rv1175c","CDS","fadH"
NA,3,NA,3,"Rv1176c","CDS","Rv1176c"
NA,4,NA,5,"Rv1177","CDS","fdxC"
1,4,NA,19,"Rv1178","CDS","Rv1178"
3,23,8,23,"Rv1179c","CDS","Rv1179c"
5,6,4,13,"Rv1180","CDS","pks3"
5,26,5,52,"Rv1181","CDS","pks4"
3,9,6,13,"Rv1182","CDS","papA3"
7,11,5,19,"Rv1183","CDS","mmpL10"
3,14,6,17,"Rv1184c","CDS","Rv1184c"
6,9,5,17,"Rv1185c","CDS","fadD21"
2,8,1,14,"Rv1186c","CDS","Rv1186c"
NA,4,1,25,"Rv1187","CDS","rocA"
1,3,NA,7,"Rv1188","CDS","Rv1188"
1,3,1,9,"Rv1189","CDS","sigI"
NA,5,3,10,"Rv1190","CDS","Rv1190"
1,7,2,11,"Rv1191","CDS","Rv1191"
3,5,1,21,"Rv1192","CDS","Rv1192"
1,9,3,19,"Rv1193","CDS","fadD36"
3,5,4,9,"Rv1194c","CDS","Rv1194c"
NA,2,1,1,"Rv1195","CDS","PE13"
1,5,1,19,"Rv1196","CDS","PPE18"
NA,NA,NA,1,"Rv1197","CDS","esxK"
NA,NA,NA,NA,"Rv1198","CDS","esxL"
NA,9,1,6,"Rv1199c","CDS","Rv1199c"
NA,8,5,7,"Rv1200","CDS","Rv1200"
1,6,1,3,"Rv1201c","CDS","dapD"
3,6,1,5,"Rv1202","CDS","dapE"
NA,1,1,3,"Rv1203c","CDS","Rv1203c"
NA,9,4,16,"Rv1204c","CDS","Rv1204c"
1,4,1,1,"Rv1205","CDS","Rv1205"
1,8,NA,20,"Rv1206","CDS","fadD6"
NA,3,2,14,"Rv1207","CDS","folP2"
1,10,3,12,"Rv1208","CDS","gpgS"
1,2,NA,3,"Rv1209","CDS","Rv1209"
2,7,2,4,"Rv1210","CDS","tagA"
1,2,2,NA,"Rv1211","CDS","Rv1211"
NA,6,2,12,"Rv1212c","CDS","glgA"
2,7,2,11,"Rv1213","CDS","glgC"
NA,1,1,NA,"Rv1214c","CDS","PE14"
3,8,5,32,"Rv1215c","CDS","Rv1215c"
NA,4,2,3,"Rv1216c","CDS","Rv1216c"
NA,7,1,14,"Rv1217c","CDS","Rv1217c"
NA,5,3,5,"Rv1218c","CDS","Rv1218c"
NA,NA,NA,NA,"Rv1219c","-10_signal","Rv1219c"
NA,NA,NA,NA,"Rv1219c","-35_signal","Rv1219c"
1,1,1,3,"Rv1219c","CDS","Rv1219c"
1,3,1,6,"Rv1220c","CDS","Rv1220c"
1,7,2,6,"Rv1221","CDS","sigE"
1,3,2,6,"Rv1222","CDS","rseA"
1,11,2,20,"Rv1223","CDS","htrA"
NA,2,NA,8,"Rv1224","CDS","tatB"
1,8,1,4,"Rv1225c","CDS","Rv1225c"
NA,4,4,15,"Rv1226c","CDS","Rv1226c"
NA,2,1,11,"Rv1227c","CDS","Rv1227c"
NA,3,NA,7,"Rv1228","CDS","lpqX"
1,8,2,15,"Rv1229c","CDS","mrp"
10,8,16,34,"Rv1230c","CDS","Rv1230c"
NA,4,1,7,"Rv1231c","CDS","Rv1231c"
NA,12,3,20,"Rv1232c","CDS","Rv1232c"
5,12,6,19,"Rv1233c","CDS","Rv1233c"
NA,8,3,5,"Rv1234","CDS","Rv1234"
1,11,5,16,"Rv1235","CDS","lpqY"
NA,4,2,8,"Rv1236","CDS","sugA"
1,1,1,13,"Rv1237","CDS","sugB"
3,6,1,10,"Rv1238","CDS","sugC"
NA,9,2,11,"Rv1239c","CDS","corA"
2,6,NA,7,"Rv1240","CDS","mdh"
NA,NA,NA,4,"Rv1241","CDS","vapB33"
1,NA,2,5,"Rv1242","CDS","vapC33"
2,10,1,5,"Rv1243c","CDS","PE_PGRS23"
NA,10,NA,8,"Rv1244","CDS","lpqZ"
NA,2,1,6,"Rv1245c","CDS","Rv1245c"
NA,2,1,4,"Rv1246c","CDS","relE"
1,NA,1,1,"Rv1247c","CDS","relB"
1,23,8,35,"Rv1248c","CDS","Rv1248c"
NA,3,NA,13,"Rv1249c","CDS","Rv1249c"
2,11,5,23,"Rv1250","CDS","Rv1250"
8,21,10,35,"Rv1251c","CDS","Rv1251c"
1,7,4,14,"Rv1252c","CDS","lprE"
1,10,5,19,"Rv1253","CDS","deaD"
1,10,2,9,"Rv1254","CDS","Rv1254"
3,4,1,4,"Rv1255c","CDS","Rv1255c"
NA,7,2,19,"Rv1256c","CDS","cyp130"
1,12,2,9,"Rv1257c","CDS","Rv1257c"
NA,9,2,13,"Rv1258c","CDS","Rv1258c"
1,7,2,17,"Rv1259","CDS","udgB"
NA,7,2,5,"Rv1260","CDS","Rv1260"
NA,4,2,7,"Rv1261c","CDS","Rv1261c"
NA,2,NA,7,"Rv1262c","CDS","Rv1262c"
4,9,4,16,"Rv1263","CDS","amiB2"
2,5,1,13,"Rv1264","CDS","Rv1264"
1,4,1,8,"Rv1265","CDS","Rv1265"
7,23,3,37,"Rv1266c","CDS","pknH"
NA,7,5,7,"Rv1267c","CDS","embR"
1,5,NA,6,"Rv1268c","CDS","Rv1268c"
NA,2,2,NA,"Rv1269c","CDS","Rv1269c"
1,4,2,2,"Rv1270c","CDS","lprA"
1,NA,NA,3,"Rv1271c","CDS","Rv1271c"
2,4,3,18,"Rv1272c","CDS","Rv1272c"
1,6,2,10,"Rv1273c","CDS","Rv1273c"
NA,2,NA,10,"Rv1274","CDS","lprB"
1,3,NA,3,"Rv1275","CDS","lprC"
NA,2,2,6,"Rv1276c","CDS","Rv1276c"
2,7,1,14,"Rv1277","CDS","Rv1277"
1,7,2,8,"Rv1278","CDS","Rv1278"
4,6,3,20,"Rv1279","CDS","Rv1279"
1,11,2,18,"Rv1280c","CDS","oppA"
1,11,1,22,"Rv1281c","CDS","oppD"
NA,5,2,6,"Rv1282c","CDS","oppC"
1,2,2,6,"Rv1283c","CDS","oppB"
NA,4,NA,5,"Rv1284","CDS","canA"
1,3,1,10,"Rv1285","CDS","cysD"
1,10,3,14,"Rv1286","CDS","cysN"
NA,3,1,3,"Rv1287","CDS","Rv1287"
4,10,1,9,"Rv1288","CDS","Rv1288"
2,3,2,4,"Rv1289","CDS","Rv1289"
1,NA,1,3,"Rv1290A","CDS","Rv1290A"
1,8,2,17,"Rv1290c","CDS","Rv1290c"
NA,NA,NA,3,"Rv1291c","CDS","Rv1291c"
1,6,1,14,"Rv1292","CDS","argS"
NA,7,2,12,"Rv1293","CDS","lysA"
1,3,2,12,"Rv1294","CDS","thrA"
NA,7,NA,17,"Rv1295","CDS","thrC"
2,8,1,6,"Rv1296","CDS","thrB"
3,12,3,17,"Rv1297","CDS","rho"
NA,NA,NA,3,"Rv1298","CDS","rpmE"
NA,4,2,6,"Rv1299","CDS","prfA"
2,8,NA,15,"Rv1300","CDS","hemK"
1,4,3,8,"Rv1301","CDS","Rv1301"
2,2,2,12,"Rv1302","CDS","rfe"
NA,2,1,5,"Rv1303","CDS","Rv1303"
NA,4,2,4,"Rv1304","CDS","atpB"
NA,3,NA,1,"Rv1305","CDS","atpE"
NA,1,NA,2,"Rv1306","CDS","atpF"
NA,4,3,4,"Rv1307","CDS","atpH"
NA,9,1,14,"Rv1308","CDS","atpA"
NA,4,NA,6,"Rv1309","CDS","atpG"
2,7,1,15,"Rv1310","CDS","atpD"
NA,2,NA,1,"Rv1311","CDS","atpC"
1,2,NA,3,"Rv1312","CDS","Rv1312"
NA,6,5,8,"Rv1313c","CDS","Rv1313c"
3,2,NA,7,"Rv1314c","CDS","Rv1314c"
1,5,1,14,"Rv1315","CDS","murA"
NA,6,2,2,"Rv1316c","CDS","ogt"
2,12,4,16,"Rv1317c","CDS","alkA"
NA,8,3,16,"Rv1318c","CDS","Rv1318c"
3,6,3,13,"Rv1319c","CDS","Rv1319c"
3,6,10,10,"Rv1320c","CDS","Rv1320c"
NA,2,1,6,"Rv1321","CDS","Rv1321"
NA,1,1,4,"Rv1322A","CDS","Rv1322A"
NA,1,NA,10,"Rv1322","CDS","Rv1322"
1,5,1,7,"Rv1323","CDS","fadA4"
NA,7,2,7,"Rv1324","CDS","Rv1324"
NA,8,2,6,"Rv1325c","CDS","PE_PGRS24"
2,16,4,22,"Rv1326c","CDS","glgB"
1,19,8,28,"Rv1327c","CDS","glgE"
6,9,6,32,"Rv1328","CDS","glgP"
3,9,1,17,"Rv1329c","CDS","dinG"
NA,11,6,13,"Rv1330c","CDS","pncB1"
NA,1,1,3,"Rv1331","CDS","Rv1331"
1,2,NA,13,"Rv1332","CDS","Rv1332"
2,5,1,18,"Rv1333","CDS","Rv1333"
1,4,NA,5,"Rv1334","CDS","mec"
NA,2,1,2,"Rv1335","CDS","cysO"
NA,6,1,8,"Rv1336","CDS","cysM"
NA,1,1,10,"Rv1337","CDS","Rv1337"
1,5,2,10,"Rv1338","CDS","murI"
1,5,2,14,"Rv1339","CDS","Rv1339"
NA,3,2,9,"Rv1340","CDS","rphA"
2,2,1,6,"Rv1341","CDS","Rv1341"
1,2,NA,4,"Rv1342c","CDS","Rv1342c"
1,6,2,4,"Rv1343c","CDS","lprD"
2,NA,2,1,"Rv1344","CDS","mbtL"
2,11,1,16,"Rv1345","CDS","mbtM"
NA,3,NA,6,"Rv1346","CDS","mbtN"
2,4,3,7,"Rv1347c","CDS","mbtK"
5,8,4,32,"Rv1348","CDS","irtA"
1,2,1,21,"Rv1349","CDS","irtB"
NA,1,NA,3,"Rv1350","CDS","fabG2"
NA,1,4,2,"Rv1351","CDS","Rv1351"
1,3,1,4,"Rv1352","CDS","Rv1352"
1,6,3,4,"Rv1353c","CDS","Rv1353c"
6,8,2,15,"Rv1354c","CDS","Rv1354c"
5,9,11,19,"Rv1355c","CDS","moeY"
1,3,2,5,"Rv1356c","CDS","Rv1356c"
1,5,1,7,"Rv1357c","CDS","Rv1357c"
2,8,6,20,"Rv1358","CDS","Rv1358"
1,5,NA,8,"Rv1359","CDS","Rv1359"
1,6,NA,12,"Rv1360","CDS","Rv1360"
NA,7,2,17,"Rv1361c","CDS","PPE19"
NA,4,NA,5,"Rv1362c","CDS","Rv1362c"
NA,1,4,2,"Rv1363c","CDS","Rv1363c"
3,9,6,11,"Rv1364c","CDS","Rv1364c"
