"CCT(proX)","CCC(proT)","CCA(proU)","CCG(proY)","geneSymbol","geneType","geneLocus"
NA,33.3333333333333,NA,66.6666666666667,"Rv1717","CDS","Rv1717"
NA,45,NA,55,"Rv1718","CDS","Rv1718"
7.69230769230769,23.0769230769231,NA,69.2307692307692,"Rv1719","CDS","Rv1719"
16.6666666666667,16.6666666666667,16.6666666666667,50,"vapC12","CDS","Rv1720c"
NA,33.3333333333333,NA,66.6666666666667,"vapB12","CDS","Rv1721c"
3.44827586206897,31.0344827586207,10.3448275862069,55.1724137931034,"Rv1722","CDS","Rv1722"
3.33333333333333,36.6666666666667,3.33333333333333,56.6666666666667,"Rv1723","CDS","Rv1723"
NA,14.2857142857143,57.1428571428571,28.5714285714286,"Rv1724c","CDS","Rv1724c"
15,40,20,25,"Rv1725c","CDS","Rv1725c"
NA,28.5714285714286,3.57142857142857,67.8571428571429,"Rv1726","CDS","Rv1726"
NA,36.3636363636364,NA,63.6363636363636,"Rv1727","CDS","Rv1727"
20,25,20,35,"Rv1728c","CDS","Rv1728c"
NA,27.7777777777778,11.1111111111111,61.1111111111111,"Rv1729c","CDS","Rv1729c"
20.6896551724138,27.5862068965517,NA,51.7241379310345,"Rv1730c","CDS","Rv1730c"
3.125,40.625,NA,56.25,"gabD2","CDS","Rv1731"
NA,37.5,6.25,56.25,"Rv1732c","CDS","Rv1732c"
9.09090909090909,9.09090909090909,9.09090909090909,72.7272727272727,"Rv1733c","CDS","Rv1733c"
25,25,25,25,"Rv1734c","CDS","Rv1734c"
NA,10,20,70,"Rv1735c","CDS","Rv1735c"
NA,13.5135135135135,8.10810810810811,78.3783783783784,"narX","CDS","Rv1736c"
NA,17.3913043478261,NA,82.6086956521739,"narK2","CDS","Rv1737c"
NA,33.3333333333333,NA,66.6666666666667,"Rv1738","CDS","Rv1738"
7.14285714285714,14.2857142857143,3.57142857142857,75,"Rv1739c","CDS","Rv1739c"
NA,50,NA,50,"vapB34","CDS","Rv1740"
20,40,NA,40,"vapC34","CDS","Rv1741"
5.88235294117647,17.6470588235294,5.88235294117647,70.5882352941177,"Rv1742","CDS","Rv1742"
NA,17.0212765957447,17.0212765957447,65.9574468085106,"pknE","CDS","Rv1743"
NA,NA,NA,NA,"Rv1744c","CDS","Rv1744c"
15.7894736842105,26.3157894736842,21.0526315789474,36.8421052631579,"idi","CDS","Rv1745c"
10.5263157894737,39.4736842105263,5.26315789473684,44.7368421052632,"pknF","CDS","Rv1746"
2.7027027027027,28.3783783783784,21.6216216216216,47.2972972972973,"Rv1747","CDS","Rv1747"
7.69230769230769,15.3846153846154,23.0769230769231,53.8461538461538,"Rv1748","CDS","Rv1748"
16.6666666666667,16.6666666666667,33.3333333333333,33.3333333333333,"Rv1749c","CDS","Rv1749c"
7.40740740740741,25.9259259259259,22.2222222222222,44.4444444444444,"fadD1","CDS","Rv1750c"
12.1212121212121,30.3030303030303,12.1212121212121,45.4545454545455,"Rv1751","CDS","Rv1751"
NA,40,30,30,"Rv1752","CDS","Rv1752"
9.61538461538462,26.9230769230769,13.4615384615385,50,"PPE24","CDS","Rv1753c"
10.4477611940298,22.3880597014925,16.4179104477612,50.7462686567164,"Rv1754c","CDS","Rv1754c"
18.1818181818182,36.3636363636364,12.1212121212121,33.3333333333333,"plcD","CDS","Rv1755c"
6.25,31.25,25,37.5,"Rv1756c","CDS","Rv1756c"
NA,25,25,50,"Rv1757c","CDS","Rv1757c"
NA,31.25,NA,68.75,"cut1","CDS","Rv1758"
6.66666666666667,46.6666666666667,13.3333333333333,33.3333333333333,"wag22","CDS","Rv1759c"
2.5,45,5,47.5,"Rv1760","CDS","Rv1760"
NA,50,NA,50,"Rv1761c","CDS","Rv1761c"
NA,37.5,25,37.5,"Rv1762c","CDS","Rv1762c"
NA,25,25,50,"Rv1763","CDS","Rv1763"
6.25,31.25,25,37.5,"Rv1764","CDS","Rv1764"
NA,100,NA,NA,"Rv1765A","CDS","Rv1765A"
5.26315789473684,31.5789473684211,5.26315789473684,57.8947368421053,"Rv1765c","CDS","Rv1765c"
NA,NA,NA,100,"Rv1766","CDS","Rv1766"
NA,40,20,40,"Rv1767","CDS","Rv1767"
4.76190476190476,33.3333333333333,NA,61.9047619047619,"PE_PGRS31","CDS","Rv1768"
NA,18.1818181818182,4.54545454545455,77.2727272727273,"Rv1769","CDS","Rv1769"
7.14285714285714,32.1428571428571,7.14285714285714,53.5714285714286,"Rv1770","CDS","Rv1770"
13.6363636363636,31.8181818181818,4.54545454545455,50,"Rv1771","CDS","Rv1771"
NA,60,20,20,"Rv1772","CDS","Rv1772"
10,20,10,60,"Rv1773c","CDS","Rv1773c"
13.7931034482759,24.1379310344828,13.7931034482759,48.2758620689655,"Rv1774","CDS","Rv1774"
NA,46.6666666666667,6.66666666666667,46.6666666666667,"Rv1775","CDS","Rv1775"
NA,NA,33.3333333333333,66.6666666666667,"Rv1776c","CDS","Rv1776c"
4.76190476190476,42.8571428571429,14.2857142857143,38.0952380952381,"cyp144","CDS","Rv1777"
14.2857142857143,14.2857142857143,21.4285714285714,50,"Rv1778c","CDS","Rv1778c"
9.75609756097561,21.9512195121951,21.9512195121951,46.3414634146341,"Rv1779c","CDS","Rv1779c"
NA,40,NA,60,"Rv1780","CDS","Rv1780"
6.12244897959184,32.6530612244898,12.2448979591837,48.9795918367347,"malQ","CDS","Rv1781c"
6.38297872340426,14.8936170212766,10.6382978723404,68.0851063829787,"eccB5","CDS","Rv1782"
6.12244897959184,27.5510204081633,7.14285714285714,59.1836734693878,"eccC5","CDS","Rv1783"
8.33333333333333,19.4444444444444,16.6666666666667,55.5555555555556,"cyp143","CDS","Rv1785c"
NA,40,20,40,"Rv1786","CDS","Rv1786"
7.69230769230769,7.69230769230769,11.5384615384615,73.0769230769231,"PPE25","CDS","Rv1787"
NA,33.3333333333333,33.3333333333333,33.3333333333333,"PE18","CDS","Rv1788"
10.8108108108108,21.6216216216216,8.10810810810811,59.4594594594595,"PPE26","CDS","Rv1789"
3.7037037037037,7.40740740740741,14.8148148148148,74.0740740740741,"PPE27","CDS","Rv1790"
NA,33.3333333333333,33.3333333333333,33.3333333333333,"PE19","CDS","Rv1791"
NA,NA,NA,100,"esxM","CDS","Rv1792"
NA,NA,NA,NA,"esxN","CDS","Rv1793"
21.4285714285714,21.4285714285714,14.2857142857143,42.8571428571429,"Rv1794","CDS","Rv1794"
3.7037037037037,18.5185185185185,7.40740740740741,70.3703703703704,"eccD5","CDS","Rv1795"
5.95238095238095,23.8095238095238,16.6666666666667,53.5714285714286,"mycP5","CDS","Rv1796"
NA,26.0869565217391,8.69565217391304,65.2173913043478,"eccE5","CDS","Rv1797"
8,28,4,60,"eccA5","CDS","Rv1798"
16.6666666666667,16.6666666666667,NA,66.6666666666667,"lppT","CDS","Rv1799"
1.96078431372549,19.6078431372549,19.6078431372549,58.8235294117647,"PPE28","CDS","Rv1800"
12.1212121212121,21.2121212121212,12.1212121212121,54.5454545454545,"PPE29","CDS","Rv1801"
NA,14.8148148148148,11.1111111111111,74.0740740740741,"PPE30","CDS","Rv1802"
13.3333333333333,40,13.3333333333333,33.3333333333333,"PE_PGRS32","CDS","Rv1803c"
NA,50,NA,50,"Rv1804c","CDS","Rv1804c"
40,NA,40,20,"Rv1805c","CDS","Rv1805c"
NA,NA,33.3333333333333,66.6666666666667,"PE20","CDS","Rv1806"
3.2258064516129,38.7096774193548,6.45161290322581,51.6129032258064,"PPE31","CDS","Rv1807"
6.89655172413793,13.7931034482759,20.6896551724138,58.6206896551724,"PPE32","CDS","Rv1808"
NA,31.4285714285714,11.4285714285714,57.1428571428571,"PPE33","CDS","Rv1809"
14.2857142857143,42.8571428571429,28.5714285714286,14.2857142857143,"Rv1810","CDS","Rv1810"
NA,42.8571428571429,14.2857142857143,42.8571428571429,"mgtC","CDS","Rv1811"
13.6363636363636,22.7272727272727,4.54545454545455,59.0909090909091,"Rv1812c","CDS","Rv1812c"
33.3333333333333,16.6666666666667,NA,50,"Rv1813c","CDS","Rv1813c"
5.88235294117647,17.6470588235294,17.6470588235294,58.8235294117647,"erg3","CDS","Rv1814"
NA,42.8571428571429,14.2857142857143,42.8571428571429,"Rv1815","CDS","Rv1815"
22.2222222222222,22.2222222222222,11.1111111111111,44.4444444444444,"Rv1816","CDS","Rv1816"
NA,33.3333333333333,11.1111111111111,55.5555555555556,"Rv1817","CDS","Rv1817"
9.09090909090909,36.3636363636364,9.09090909090909,45.4545454545455,"PE_PGRS33","CDS","Rv1818c"
6.45161290322581,41.9354838709677,6.45161290322581,45.1612903225806,"bacA","CDS","Rv1819c"
NA,21.2121212121212,21.2121212121212,57.5757575757576,"ilvG","CDS","Rv1820"
13.7931034482759,24.1379310344828,24.1379310344828,37.9310344827586,"secA2","CDS","Rv1821"
16.6666666666667,8.33333333333333,16.6666666666667,58.3333333333333,"pgsA2","CDS","Rv1822"
17.6470588235294,35.2941176470588,17.6470588235294,29.4117647058824,"Rv1823","CDS","Rv1823"
NA,16.6666666666667,16.6666666666667,66.6666666666667,"Rv1824","CDS","Rv1824"
22.2222222222222,22.2222222222222,22.2222222222222,33.3333333333333,"Rv1825","CDS","Rv1825"
NA,60,NA,40,"gcvH","CDS","Rv1826"
11.1111111111111,44.4444444444444,NA,44.4444444444444,"garA","CDS","Rv1827"
13.3333333333333,33.3333333333333,13.3333333333333,40,"Rv1828","CDS","Rv1828"
10,20,10,60,"Rv1829","CDS","Rv1829"
12.5,50,12.5,25,"Rv1830","CDS","Rv1830"
NA,50,NA,50,"Rv1831","CDS","Rv1831"
5.45454545454545,25.4545454545455,12.7272727272727,56.3636363636364,"gcvB","CDS","Rv1832"
NA,41.6666666666667,8.33333333333333,50,"Rv1833c","CDS","Rv1833c"
NA,13.6363636363636,18.1818181818182,68.1818181818182,"lipZ","CDS","Rv1834"
4.54545454545455,31.8181818181818,4.54545454545455,59.0909090909091,"Rv1835c","CDS","Rv1835c"
9.09090909090909,36.3636363636364,10.9090909090909,43.6363636363636,"Rv1836c","CDS","Rv1836c"
8.33333333333333,36.1111111111111,2.77777777777778,52.7777777777778,"glcB","CDS","Rv1837c"
NA,20,NA,80,"vapC13","CDS","Rv1838c"
NA,33.3333333333333,NA,66.6666666666667,"vapB13","CDS","Rv1839c"
NA,66.6666666666667,14.2857142857143,19.047619047619,"PE_PGRS34","CDS","Rv1840c"
NA,11.1111111111111,NA,88.8888888888889,"Rv1841c","CDS","Rv1841c"
5,30,5,60,"Rv1842c","CDS","Rv1842c"
NA,25,20.8333333333333,54.1666666666667,"guaB1","CDS","Rv1843c"
NA,30.4347826086957,8.69565217391304,60.8695652173913,"gnd1","CDS","Rv1844c"
5.88235294117647,41.1764705882353,11.7647058823529,41.1764705882353,"blaR","CDS","Rv1845c"
NA,50,25,25,"blaI","CDS","Rv1846c"
11.1111111111111,33.3333333333333,11.1111111111111,44.4444444444444,"Rv1847","CDS","Rv1847"
NA,NA,NA,100,"ureA","CDS","Rv1848"
NA,40,NA,60,"ureB","CDS","Rv1849"
5.55555555555556,22.2222222222222,NA,72.2222222222222,"ureC","CDS","Rv1850"
NA,60,NA,40,"ureF","CDS","Rv1851"
NA,16.6666666666667,33.3333333333333,50,"ureG","CDS","Rv1852"
10,30,NA,60,"ureD","CDS","Rv1853"
4.76190476190476,38.0952380952381,14.2857142857143,42.8571428571429,"ndh","CDS","Rv1854c"
NA,29.4117647058824,23.5294117647059,47.0588235294118,"Rv1855c","CDS","Rv1855c"
20,30,10,40,"Rv1856c","CDS","Rv1856c"
NA,38.4615384615385,23.0769230769231,38.4615384615385,"modA","CDS","Rv1857"
10.5263157894737,5.26315789473684,NA,84.2105263157895,"modB","CDS","Rv1858"
20,20,8,52,"modC","CDS","Rv1859"
14.0625,20.3125,10.9375,54.6875,"apa","CDS","Rv1860"
NA,NA,NA,NA,"Rv1861","CDS","Rv1861"
4.34782608695652,26.0869565217391,13.0434782608696,56.5217391304348,"adhA","CDS","Rv1862"
NA,11.1111111111111,22.2222222222222,66.6666666666667,"Rv1863c","CDS","Rv1863c"
25,25,6.25,43.75,"Rv1864c","CDS","Rv1864c"
NA,16.6666666666667,16.6666666666667,66.6666666666667,"Rv1865c","CDS","Rv1865c"
6.55737704918033,32.7868852459016,9.83606557377049,50.8196721311475,"Rv1866","CDS","Rv1866"
3.03030303030303,39.3939393939394,12.1212121212121,45.4545454545455,"Rv1867","CDS","Rv1867"
4.65116279069767,20.9302325581395,13.953488372093,60.4651162790698,"Rv1868","CDS","Rv1868"
5.26315789473684,36.8421052631579,15.7894736842105,42.1052631578947,"Rv1869c","CDS","Rv1869c"
NA,30.7692307692308,15.3846153846154,53.8461538461538,"Rv1870c","CDS","Rv1870c"
NA,42.8571428571429,14.2857142857143,42.8571428571429,"Rv1871c","CDS","Rv1871c"
16.6666666666667,25,12.5,45.8333333333333,"lldD2","CDS","Rv1872c"
NA,28.5714285714286,28.5714285714286,42.8571428571429,"Rv1873","CDS","Rv1873"
NA,23.0769230769231,38.4615384615385,38.4615384615385,"Rv1874","CDS","Rv1874"
12.5,25,25,37.5,"Rv1875","CDS","Rv1875"
NA,20,40,40,"bfrA","CDS","Rv1876"
5.26315789473684,28.9473684210526,13.1578947368421,52.6315789473684,"Rv1877","CDS","Rv1877"
13.0434782608696,30.4347826086957,4.34782608695652,52.1739130434783,"glnA3","CDS","Rv1878"
7.14285714285714,42.8571428571429,14.2857142857143,35.7142857142857,"Rv1879","CDS","Rv1879"
3.44827586206897,31.0344827586207,6.89655172413793,58.6206896551724,"cyp140","CDS","Rv1880c"
NA,75,NA,25,"lppE","CDS","Rv1881c"
8.33333333333333,50,8.33333333333333,33.3333333333333,"Rv1882c","CDS","Rv1882c"
NA,30,NA,70,"Rv1883c","CDS","Rv1883c"
7.69230769230769,15.3846153846154,15.3846153846154,61.5384615384615,"rpfC","CDS","Rv1884c"
NA,26.6666666666667,13.3333333333333,60,"Rv1885c","CDS","Rv1885c"
13.6363636363636,31.8181818181818,NA,54.5454545454545,"fbpB","CDS","Rv1886c"
12.5,18.75,18.75,50,"Rv1887","CDS","Rv1887"
NA,50,NA,50,"Rv1888A","CDS","Rv1888A"
23.0769230769231,38.4615384615385,7.69230769230769,30.7692307692308,"Rv1888c","CDS","Rv1888c"
NA,20,20,60,"Rv1889c","CDS","Rv1889c"
25,75,NA,NA,"Rv1890c","CDS","Rv1890c"
15,5,15,65,"Rv1891","CDS","Rv1891"
NA,14.2857142857143,42.8571428571429,42.8571428571429,"Rv1892","CDS","Rv1892"
NA,100,NA,NA,"Rv1893","CDS","Rv1893"
9.52380952380952,19.047619047619,9.52380952380952,61.9047619047619,"Rv1894c","CDS","Rv1894c"
12,20,12,56,"Rv1895","CDS","Rv1895"
19.047619047619,33.3333333333333,4.76190476190476,42.8571428571429,"Rv1896c","CDS","Rv1896c"
NA,16.6666666666667,16.6666666666667,66.6666666666667,"Rv1897c","CDS","Rv1897c"
20,20,NA,60,"Rv1898","CDS","Rv1898"
14.2857142857143,33.3333333333333,NA,52.3809523809524,"lppD","CDS","Rv1899c"
4.16666666666667,25,12.5,58.3333333333333,"lipJ","CDS","Rv1900c"
3.7037037037037,33.3333333333333,7.40740740740741,55.5555555555556,"cinA","CDS","Rv1901"
6.25,43.75,12.5,37.5,"nanT","CDS","Rv1902c"
25,25,NA,50,"Rv1903","CDS","Rv1903"
18.1818181818182,18.1818181818182,9.09090909090909,54.5454545454545,"Rv1904","CDS","Rv1904"
7.14285714285714,28.5714285714286,10.7142857142857,53.5714285714286,"aao","CDS","Rv1905c"
26.3157894736842,26.3157894736842,15.7894736842105,31.5789473684211,"Rv1906c","CDS","Rv1906c"
14.2857142857143,21.4285714285714,21.4285714285714,42.8571428571429,"Rv1907c","CDS","Rv1907c"
6,36,8,50,"katG","CDS","Rv1908c"
12.5,37.5,12.5,37.5,"furA","CDS","Rv1909c"
29.1666666666667,20.8333333333333,4.16666666666667,45.8333333333333,"Rv1910c","CDS","Rv1910c"
13.0434782608696,13.0434782608696,26.0869565217391,47.8260869565217,"lppC","CDS","Rv1911c"
4.34782608695652,17.3913043478261,13.0434782608696,65.2173913043478,"fadB5","CDS","Rv1912c"
28.5714285714286,14.2857142857143,21.4285714285714,35.7142857142857,"Rv1913","CDS","Rv1913"
NA,25,NA,75,"Rv1914c","CDS","Rv1914c"
10,25,NA,65,"aceAa","CDS","Rv1915"
NA,36.8421052631579,10.5263157894737,52.6315789473684,"aceAb","CDS","Rv1916"
10.5263157894737,21.0526315789474,7.01754385964912,61.4035087719298,"PPE34","CDS","Rv1917c"
7.5,21.25,11.25,60,"PPE35","CDS","Rv1918c"
NA,50,12.5,37.5,"Rv1919c","CDS","Rv1919c"
NA,20,25,55,"Rv1920","CDS","Rv1920"
9.09090909090909,22.7272727272727,18.1818181818182,50,"lppF","CDS","Rv1921c"
22.2222222222222,33.3333333333333,5.55555555555556,38.8888888888889,"Rv1922","CDS","Rv1922"
10.3448275862069,27.5862068965517,13.7931034482759,48.2758620689655,"lipD","CDS","Rv1923"
NA,16.6666666666667,NA,83.3333333333333,"Rv1924c","CDS","Rv1924c"
NA,28.2051282051282,17.9487179487179,53.8461538461538,"fadD31","CDS","Rv1925"
NA,50,20,30,"mpt63","CDS","Rv1926c"
NA,21.4285714285714,3.57142857142857,75,"Rv1927","CDS","Rv1927"
NA,33.3333333333333,NA,66.6666666666667,"Rv1928c","CDS","Rv1928c"
8.33333333333333,33.3333333333333,16.6666666666667,41.6666666666667,"Rv1929c","CDS","Rv1929c"
NA,25,NA,75,"Rv1930c","CDS","Rv1930c"
10.5263157894737,31.5789473684211,15.7894736842105,42.1052631578947,"Rv1931c","CDS","Rv1931c"
10,20,10,60,"tpx","CDS","Rv1932"
NA,50,5.55555555555556,44.4444444444444,"fadE18","CDS","Rv1933c"
NA,46.4285714285714,10.7142857142857,42.8571428571429,"fadE17","CDS","Rv1934c"
NA,50,NA,50,"echA13","CDS","Rv1935c"
NA,34.6153846153846,3.84615384615385,61.5384615384615,"Rv1936","CDS","Rv1936"
4.65116279069767,25.5813953488372,2.32558139534884,67.4418604651163,"Rv1937","CDS","Rv1937"
NA,26.0869565217391,4.34782608695652,69.5652173913043,"ephB","CDS","Rv1938"
NA,8.33333333333333,8.33333333333333,83.3333333333333,"Rv1939","CDS","Rv1939"
NA,55,5,40,"ribA1","CDS","Rv1940"
NA,20,20,60,"Rv1941","CDS","Rv1941"
14.2857142857143,28.5714285714286,14.2857142857143,42.8571428571429,"mazF5","CDS","Rv1942c"
NA,50,25,25,"mazE5","CDS","Rv1943c"
10.5263157894737,21.0526315789474,21.0526315789474,47.3684210526316,"Rv1944c","CDS","Rv1944c"
NA,28,12,60,"Rv1945","CDS","Rv1945"
18.1818181818182,NA,36.3636363636364,45.4545454545455,"lppG","CDS","Rv1946c"
NA,14.2857142857143,14.2857142857143,71.4285714285714,"Rv1947","CDS","Rv1947"
NA,NA,40,60,"Rv1948c","CDS","Rv1948c"
11.1111111111111,36.1111111111111,8.33333333333333,44.4444444444444,"Rv1949c","CDS","Rv1949c"
NA,NA,NA,100,"Rv1950c","CDS","Rv1950c"
16.6666666666667,16.6666666666667,16.6666666666667,50,"Rv1951c","CDS","Rv1951c"
NA,60,NA,40,"vapB14","CDS","Rv1952"
NA,50,NA,50,"vapC14","CDS","Rv1953"
8.33333333333333,33.3333333333333,NA,58.3333333333333,"Rv1954A","CDS","Rv1954A"
26.6666666666667,26.6666666666667,13.3333333333333,33.3333333333333,"Rv1954c","CDS","Rv1954c"
18.1818181818182,27.2727272727273,18.1818181818182,36.3636363636364,"higB","CDS","Rv1955"
28.5714285714286,71.4285714285714,NA,NA,"higA","CDS","Rv1956"
7.69230769230769,38.4615384615385,7.69230769230769,46.1538461538462,"Rv1957","CDS","Rv1957"
25,33.3333333333333,20.8333333333333,20.8333333333333,"Rv1958c","CDS","Rv1958c"
33.3333333333333,33.3333333333333,NA,33.3333333333333,"parE1","CDS","Rv1959c"
NA,NA,NA,100,"parD1","CDS","Rv1960c"
NA,25,12.5,62.5,"Rv1961","CDS","Rv1961"
28.5714285714286,14.2857142857143,NA,57.1428571428571,"vapB35","CDS","Rv1962A"
NA,42.8571428571429,42.8571428571429,14.2857142857143,"vapC35","CDS","Rv1962c"
5.88235294117647,23.5294117647059,17.6470588235294,52.9411764705882,"mce3R","CDS","Rv1963c"
NA,NA,NA,NA,"yrbE3A","-10_signal","Rv1964"
NA,NA,NA,NA,"yrbE3A","-35_signal","Rv1964"
18.1818181818182,NA,18.1818181818182,63.6363636363636,"yrbE3A","CDS","Rv1964"
16.6666666666667,50,NA,33.3333333333333,"yrbE3B","CDS","Rv1965"
NA,37.9310344827586,10.3448275862069,51.7241379310345,"mce3A","CDS","Rv1966"
NA,36.3636363636364,NA,63.6363636363636,"mce3B","CDS","Rv1967"
NA,26.1904761904762,2.38095238095238,71.4285714285714,"mce3C","CDS","Rv1968"
3.57142857142857,14.2857142857143,10.7142857142857,71.4285714285714,"mce3D","CDS","Rv1969"
NA,30,10,60,"lprM","CDS","Rv1970"
2.94117647058824,26.4705882352941,5.88235294117647,64.7058823529412,"mce3F","CDS","Rv1971"
NA,12.5,37.5,50,"Rv1972","CDS","Rv1972"
NA,60,NA,40,"Rv1973","CDS","Rv1973"
16.6666666666667,33.3333333333333,33.3333333333333,16.6666666666667,"Rv1974","CDS","Rv1974"
9.09090909090909,36.3636363636364,4.54545454545455,50,"Rv1975","CDS","Rv1975"
NA,12.5,12.5,75,"Rv1976c","CDS","Rv1976c"
NA,41.6666666666667,16.6666666666667,41.6666666666667,"Rv1977","CDS","Rv1977"
4.76190476190476,33.3333333333333,19.047619047619,42.8571428571429,"Rv1978","CDS","Rv1978"
NA,11.1111111111111,5.55555555555556,83.3333333333333,"Rv1979c","CDS","Rv1979c"
NA,31.5789473684211,31.5789473684211,36.8421052631579,"mpt64","CDS","Rv1980c"
20,50,NA,30,"nrdF1","CDS","Rv1981c"
25,75,NA,NA,"vapB36","CDS","Rv1982A"
NA,42.8571428571429,28.5714285714286,28.5714285714286,"vapC36","CDS","Rv1982c"
4.76190476190476,42.8571428571429,11.9047619047619,40.4761904761905,"PE_PGRS35","CDS","Rv1983"
NA,25,33.3333333333333,41.6666666666667,"cfp21","CDS","Rv1984c"
5.55555555555556,5.55555555555556,22.2222222222222,66.6666666666667,"Rv1985c","CDS","Rv1985c"
12.5,12.5,37.5,37.5,"Rv1986","CDS","Rv1986"
12.5,12.5,12.5,62.5,"Rv1987","CDS","Rv1987"
8.33333333333333,25,16.6666666666667,50,"erm(37)","CDS","Rv1988"
14.2857142857143,NA,NA,85.7142857142857,"Rv1989c","CDS","Rv1989c"
33.3333333333333,66.6666666666667,NA,NA,"Rv1990A","CDS","Rv1990A"
20,20,NA,60,"Rv1990c","CDS","Rv1990c"
NA,NA,NA,100,"mazE6","CDS","Rv1991A"
NA,22.2222222222222,33.3333333333333,44.4444444444444,"mazF6","CDS","Rv1991c"
6.25,34.375,9.375,50,"ctpG","CDS","Rv1992c"
NA,100,NA,NA,"Rv1993c","CDS","Rv1993c"
NA,66.6666666666667,NA,33.3333333333333,"cmtR","CDS","Rv1994c"
NA,NA,NA,NA,"cmtR","promoter","Rv1994c"
6.25,43.75,12.5,37.5,"Rv1995","CDS","Rv1995"
8.33333333333333,41.6666666666667,NA,50,"Rv1996","CDS","Rv1996"
NA,36.3636363636364,20.4545454545455,43.1818181818182,"ctpF","CDS","Rv1997"
NA,47.0588235294118,11.7647058823529,41.1764705882353,"Rv1998c","CDS","Rv1998c"
5,20,20,55,"Rv1999c","CDS","Rv1999c"
7.14285714285714,28.5714285714286,21.4285714285714,42.8571428571429,"Rv2000","CDS","Rv2000"
NA,50,14.2857142857143,35.7142857142857,"Rv2001","CDS","Rv2001"
12.5,50,12.5,25,"fabG3","CDS","Rv2002"
23.8095238095238,9.52380952380952,19.047619047619,47.6190476190476,"Rv2003c","CDS","Rv2003c"
21.4285714285714,7.14285714285714,7.14285714285714,64.2857142857143,"Rv2004c","CDS","Rv2004c"
11.1111111111111,16.6666666666667,5.55555555555556,66.6666666666667,"Rv2005c","CDS","Rv2005c"
4,40,16,40,"otsB1","CDS","Rv2006"
18.1818181818182,18.1818181818182,NA,63.6363636363636,"fdxA","CDS","Rv2007c"
12.9032258064516,29.0322580645161,9.67741935483871,48.3870967741936,"Rv2008c","CDS","Rv2008c"
NA,NA,NA,100,"vapB15","CDS","Rv2009"
NA,25,NA,75,"vapC15","CDS","Rv2010"
20,40,20,20,"Rv2011c","CDS","Rv2011c"
22.2222222222222,22.2222222222222,33.3333333333333,22.2222222222222,"Rv2012","CDS","Rv2012"
NA,54.5454545454545,9.09090909090909,36.3636363636364,"Rv2013","CDS","Rv2013"
14.2857142857143,71.4285714285714,NA,14.2857142857143,"Rv2014","CDS","Rv2014"
9.67741935483871,22.5806451612903,9.67741935483871,58.0645161290323,"Rv2015c","CDS","Rv2015c"
16.6666666666667,16.6666666666667,8.33333333333333,58.3333333333333,"Rv2016","CDS","Rv2016"
5.88235294117647,52.9411764705882,11.7647058823529,29.4117647058824,"Rv2017","CDS","Rv2017"
16.6666666666667,11.1111111111111,27.7777777777778,44.4444444444444,"Rv2018","CDS","Rv2018"
16.6666666666667,NA,16.6666666666667,66.6666666666667,"Rv2019","CDS","Rv2019"
20,40,NA,40,"Rv2020c","CDS","Rv2020c"
NA,100,NA,NA,"Rv2021c","CDS","Rv2021c"
20,30,30,20,"Rv2022c","CDS","Rv2022c"
10,NA,20,70,"Rv2023A","CDS","Rv2023A"
20,20,NA,60,"Rv2023c","CDS","Rv2023c"
NA,15,5,80,"Rv2024c","CDS","Rv2024c"
NA,38.4615384615385,23.0769230769231,38.4615384615385,"Rv2025c","CDS","Rv2025c"
6.66666666666667,26.6666666666667,13.3333333333333,53.3333333333333,"Rv2026c","CDS","Rv2026c"
6.66666666666667,23.3333333333333,10,60,"dosT","CDS","Rv2027c"
NA,37.5,18.75,43.75,"Rv2028c","CDS","Rv2028c"
4.76190476190476,19.047619047619,23.8095238095238,52.3809523809524,"pfkB","CDS","Rv2029c"
3.2258064516129,19.3548387096774,3.2258064516129,74.1935483870968,"Rv2030c","CDS","Rv2030c"
NA,55.5555555555556,11.1111111111111,33.3333333333333,"hspX","CDS","Rv2031c"
13.6363636363636,22.7272727272727,9.09090909090909,54.5454545454545,"acg","CDS","Rv2032"
NA,22.2222222222222,5.55555555555556,72.2222222222222,"Rv2033c","CDS","Rv2033c"
NA,50,NA,50,"Rv2034","CDS","Rv2034"
9.09090909090909,9.09090909090909,9.09090909090909,72.7272727272727,"Rv2035","CDS","Rv2035"
NA,57.1428571428571,21.4285714285714,21.4285714285714,"Rv2036","CDS","Rv2036"
9.09090909090909,18.1818181818182,9.09090909090909,63.6363636363636,"Rv2037c","CDS","Rv2037c"
5.55555555555556,27.7777777777778,5.55555555555556,61.1111111111111,"Rv2038c","CDS","Rv2038c"
6.25,6.25,6.25,81.25,"Rv2039c","CDS","Rv2039c"
NA,33.3333333333333,8.33333333333333,58.3333333333333,"Rv2040c","CDS","Rv2040c"
NA,32.1428571428571,14.2857142857143,53.5714285714286,"Rv2041c","CDS","Rv2041c"
NA,16.6666666666667,8.33333333333333,75,"Rv2042c","CDS","Rv2042c"
NA,28.5714285714286,28.5714285714286,42.8571428571429,"pncA","CDS","Rv2043c"
16.6666666666667,16.6666666666667,NA,66.6666666666667,"Rv2044c","CDS","Rv2044c"
9.09090909090909,21.2121212121212,18.1818181818182,51.5151515151515,"lipT","CDS","Rv2045c"
NA,27.2727272727273,18.1818181818182,54.5454545454545,"lppI","CDS","Rv2046"
10.1694915254237,23.728813559322,11.864406779661,54.2372881355932,"Rv2047c","CDS","Rv2047c"
